"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"TT_TU_MN009","433","201901141500","1.6","7","1"
"TT_TU_MN009","433","201901141600","1.5","7","1"
"TT_TU_MN009","433","201901141700","1.1","7","1"
"TT_TU_MN009","433","201901141800","0.8","7","1"
"TT_TU_MN009","433","201901141900","0.6","7","1"
"TT_TU_MN009","433","201901142000","1","7","1"
"TT_TU_MN009","433","201901142100","0.8","7","1"
"TT_TU_MN009","433","201901142200","0.7","7","1"
"TT_TU_MN009","433","201901142300","0.6","7","1"
"TT_TU_MN009","433","201901150000","1.4","7","1"
"TT_TU_MN009","433","201901150100","1.8","7","1"
"TT_TU_MN009","433","201901150200","2.1","7","1"
"TT_TU_MN009","433","201901150300","2.3","7","1"
"TT_TU_MN009","433","201901150400","1.6","7","1"
"TT_TU_MN009","433","201901150500","2.5","7","1"
"TT_TU_MN009","433","201901150600","3.1","7","1"
"TT_TU_MN009","433","201901150700","3.4","7","1"
"TT_TU_MN009","433","201901150800","3.5","7","1"
"TT_TU_MN009","433","201901150900","3.5","7","1"
"TT_TU_MN009","433","201901151000","3.3","7","1"
"TT_TU_MN009","433","201901151100","3.7","7","1"
"TT_TU_MN009","433","201901151200","3.9","7","1"
"TT_TU_MN009","433","201901151300","4.5","7","1"
"TT_TU_MN009","433","201901151400","4.5","7","1"
"TT_TU_MN009","433","201901151500","4.9","7","1"
"TT_TU_MN009","433","201901151600","5.3","7","1"
"TT_TU_MN009","433","201901151700","5.7","7","1"
"TT_TU_MN009","433","201901151800","6.1","7","1"
"TT_TU_MN009","433","201901151900","6.3","7","1"
"TT_TU_MN009","433","201901152000","6.4","7","1"
"TT_TU_MN009","433","201901152100","6.4","7","1"
"TT_TU_MN009","433","201901152200","6.4","7","1"
"TT_TU_MN009","433","201901152300","6.5","7","1"
"TT_TU_MN009","433","201901160000","6.7","7","1"
"TT_TU_MN009","433","201901160100","7","7","1"
"TT_TU_MN009","433","201901160200","7.2","7","1"
"TT_TU_MN009","433","201901160300","7.1","7","1"
"TT_TU_MN009","433","201901160400","6.8","7","1"
"TT_TU_MN009","433","201901160500","6.7","7","1"
"TT_TU_MN009","433","201901160600","6.8","7","1"
"TT_TU_MN009","433","201901160700","6.5","7","1"
"TT_TU_MN009","433","201901160800","6.4","7","1"
"TT_TU_MN009","433","201901160900","6.6","7","1"
"TT_TU_MN009","433","201901161000","6.3","7","1"
"TT_TU_MN009","433","201901161100","6.2","7","1"
"TT_TU_MN009","433","201901161200","6.8","7","1"
"TT_TU_MN009","433","201901161300","6.9","7","1"
"TT_TU_MN009","433","201901161400","6.9","7","1"
"TT_TU_MN009","433","201901161500","6.8","7","1"
"TT_TU_MN009","433","201901161600","6.7","7","1"
"TT_TU_MN009","433","201901161700","6.4","7","1"
"TT_TU_MN009","433","201901161800","6.1","7","1"
"TT_TU_MN009","433","201901161900","5.7","7","1"
"TT_TU_MN009","433","201901162000","5.4","7","1"
"TT_TU_MN009","433","201901162100","5","7","1"
"TT_TU_MN009","433","201901162200","4.4","7","1"
"TT_TU_MN009","433","201901162300","3.7","7","1"
"TT_TU_MN009","433","201901170000","3.2","7","1"
"TT_TU_MN009","433","201901170100","2.9","7","1"
